Timestamp,Theta1,Theta2,Theta3,Kappa,Phi,X,Y,Z
1763669272.3938246,140,140,0,6.859281,0.264189,0.060053,0.016245,0.119453
1763669272.6493208,140,140,0,6.925361,0.171321,0.061798,0.010692,0.119074
1763669272.90146,150,150,0,8.382901,0.29551,0.069975,0.021302,0.110004
1763669273.1590006,150,150,0,8.263633,0.133023,0.071705,0.009595,0.110794
1763669273.4101722,160,160,0,9.218045,0.093439,0.078133,0.007322,0.10425
1763669273.6591048,170,170,0,9.342921,0.187923,0.077834,0.014801,0.103358
1763669273.9100697,170,170,0,10.0,0.050353,0.082898,0.004178,0.098545
1763669274.161467,0,0,0,9.556527,0.324955,0.076279,0.025698,0.101816
1763669274.4144466,0,0,0,5.913447,1.324066,0.013364,0.05306,0.124547
1763669274.6668186,0,0,0,2.940101,1.320352,0.007041,0.027522,0.13608
1763669274.992102,0,0,10,3.319859,1.129581,0.013645,0.028893,0.135014
1763669275.242003,0,0,10,3.047851,1.226067,0.009942,0.027688,0.13579
1763669275.4912815,0,0,20,3.059327,1.187964,0.011029,0.027389,0.135759
1763669275.7425969,0,0,30,3.059067,1.170789,0.011497,0.027193,0.135759
1763669275.9928615,0,0,30,2.987765,1.229194,0.009667,0.027188,0.135953
1763669276.2346926,0,0,40,2.939204,1.369262,0.005685,0.027825,0.136082
1763669276.476503,0,0,50,2.882041,1.269694,0.008263,0.026609,0.136232
1763669276.7199285,0,0,50,2.793162,1.473782,0.002618,0.026899,0.136459
1763669276.956873,0,0,60,2.876828,1.825545,-0.007009,0.026916,0.136246
1763669277.206216,0,0,70,2.812731,1.653572,-0.00225,0.027117,0.13641
1763669277.4474657,0,0,70,2.973568,1.908828,-0.009525,0.027097,0.135991
1763669277.7632277,0,0,80,3.053857,1.872654,-0.008763,0.028142,0.135774
1763669277.9977226,0,0,80,3.285993,2.077479,-0.015354,0.027664,0.135114
1763669278.8250723,0,0,100,4.42662,2.409382,-0.031243,0.028084,0.131209
1763669278.9985862,0,0,110,5.324989,2.551947,-0.041401,0.027699,0.127388
1763669279.4143033,0,0,120,5.07615,2.511248,-0.038523,0.028108,0.12851
1763669279.4982336,0,0,120,5.898626,2.610736,-0.047081,0.02764,0.124621
1763669279.9153156,0,0,130,5.83222,2.587463,-0.045962,0.028441,0.124954
1763669280.2000237,0,0,130,6.627525,2.67153,-0.053868,0.027368,0.120759
1763669280.3040526,0,0,140,7.709761,2.746935,-0.063234,0.026337,0.114356
1763669280.5264938,0,0,150,6.933746,2.68418,-0.056326,0.027725,0.119026
1763669280.776556,0,0,150,8.387893,2.777702,-0.068387,0.026045,0.109971
1763669281.0275252,0,0,160,9.467006,2.828096,-0.076069,0.024661,0.102465
1763669281.2774687,0,0,170,9.400135,2.821463,-0.075528,0.02504,0.102947
1763669281.5263145,0,0,170,10.0,2.869672,-0.079953,0.022293,0.098545
1763669281.7780323,0,0,0,10.0,2.864935,-0.079847,0.022672,0.098545
1763669282.0274174,0,0,0,3.023235,0.994673,0.015901,0.024477,0.135857
1763669282.2772384,0,0,0,2.706011,1.506445,0.001685,0.026149,0.136675
1763669282.5269587,10,0,10,2.439145,1.482157,0.002096,0.023579,0.137295
1763669282.7764184,10,0,10,3.054398,1.364762,0.006031,0.028856,0.135772
1763669283.0208478,20,0,20,3.136663,1.477132,0.002829,0.030116,0.135544
1763669283.270192,30,0,30,3.129422,1.419791,0.00454,0.029837,0.135564
1763669283.51501,30,0,30,3.05928,1.401287,0.004981,0.029102,0.135759
1763669283.756166,40,0,40,2.826131,1.368721,0.005487,0.02678,0.136376
1763669284.076116,40,0,40,2.893992,1.468585,0.002854,0.027829,0.136201
1763669284.327091,50,0,50,2.540774,1.166985,0.009681,0.022657,0.137066
1763669284.5766318,60,0,60,2.863723,1.582811,-0.000333,0.027689,0.136279
1763669284.826247,60,0,60,2.063452,1.811952,-0.004796,0.0195,0.138061
1763669285.0690317,70,0,70,1.249824,1.426475,0.001757,0.01209,0.139287
1763669285.319057,80,0,80,1.691156,1.955189,-0.006186,0.015292,0.138696
1763669285.569907,80,0,80,1.093948,2.096246,-0.005367,0.009256,0.139453
